//https://unicode.org/Public/emoji/14.0/emoji-sequences.
Emoji
231A
23F0 
23F3 
25FD
2614
2648
267F 
2693 
26A1 
26AA
26BD
26C4
26CE 
26D4 
26EA 
26F2
26F5 
26FA 
26FD 
2705 
270A
2728 
274C 
274E 
2753
2757 
2795
27B0 
27BF 
2B1B
2B50 
2B55 
1F004
1F0CF
1F18E
1F191
1F201
1F21A
1F22F
1F232
1F238
1F250
1F300
1F30D
1F30F
1F310
1F311
1F312
1F313
1F316
1F319
1F31A
1F31B
1F31C
1F31D
1F31F
1F32D
1F330
1F332
1F334
1F337
1F34B
1F34C
1F350
1F351
1F37C
1F37E
1F380
1F3A0
1F3C5
1F3C6
1F3C7
1F3C8
1F3C9
1F3CA
1F3CF
1F3E0
1F3E4
1F3E5
1F3F4
1F3F8
1F408
1F409
1F40C
1F40F
1F411
1F413
1F414
1F415
1F416
1F417
1F42A
1F42B
1F440
1F442
1F465
1F466
1F46C
1F46E
1F4AD
1F4AE
1F4B6
1F4B8
1F4EC
1F4EE
1F4EF
1F4F0
1F4F5
1F4F6
1F4F8
1F4F9
1F4FF
1F503
1F504
1F508
1F509
1F50A
1F515
1F516
1F52C
1F52E
1F54B
1F550
1F55C
1F57A
1F595
1F5A4
1F5FB
1F600
1F601
1F607
1F609
1F60E
1F60F
1F610
1F611
1F612
1F615
1F616
1F617
1F618
1F619
1F61A
1F61B
1F61C
1F61F
1F620
1F626
1F628
1F62C
1F62D
1F62E
1F630
1F634
1F635
1F636
1F637
1F641
1F645
1F680
1F681
1F683
1F686
1F687
1F688
1F689
1F68A
1F68C
1F68D
1F68E
1F68F
1F690
1F691
1F694
1F695
1F696
1F697
1F698
1F699
1F69B
1F6A2
1F6A3
1F6A4
1F6A6
1F6A7
1F6AE
1F6B2
1F6B3
1F6B6
1F6B7
1F6B9
1F6BF
1F6C0
1F6C1
1F6CC
1F6D0
1F6D1
1F6D5
1F6D6
1F6DD
1F6EB
1F6F4
1F6F7
1F6F9
1F6FA
1F6FB
1F7E0
1F7F0
1F90C
1F90D
1F910
1F919
1F91F
1F920
1F928
1F930
1F931
1F933
1F93C
1F93F
1F940
1F947
1F94C
1F94D
1F950
1F95F
1F96C
1F971
1F972
